Zip Code,Official USPS city name,Official USPS State Code,Lat,Lang
95437,Fort Bragg,CA,39.45586,-123.73049
99301,Pasco,WA,46.38449,-118.94392
95819,Sacramento,CA,38.56964,-121.43974
98682,Vancouver,WA,45.67317,-122.48174
98012,Bothell,WA,47.84156,-122.19911
97006,Beaverton,OR,45.51704,-122.85988
97007,Beaverton,OR,45.45435,-122.87964
98052,Redmond,WA,47.68125,-122.12025
97701,Bend,OR,44.01483,-121.33105
97229,Portland,OR,45.5506,-122.80998
98208,Everett,WA,47.90187,-122.1865
97045,Oregon City,OR,45.32843,-122.53074
97301,Salem,OR,44.94903,-123.00399
97124,Hillsboro,OR,45.56783,-122.94644
99208,Spokane,WA,47.77989,-117.46275
98115,Seattle,WA,47.685,-122.28216
98103,Seattle,WA,47.67332,-122.34254
97206,Portland,OR,45.48188,-122.5986
97402,Eugene,OR,44.05156,-123.22999
98391,Bonney Lake,WA,47.17717,-122.17228
99336,Kennewick,WA,46.21378,-119.17886
98225,Bellingham,WA,48.75302,-122.50144
98632,Longview,WA,46.21684,-123.06852
98270,Marysville,WA,48.0596,-122.14454
97223,Portland,OR,45.4403,-122.7795
98105,Seattle,WA,47.66068,-122.28403
98023,Federal Way,WA,47.3088,-122.36269
97702,Bend,OR,43.99863,-121.24356
98003,Federal Way,WA,47.30512,-122.31507
98387,Spanaway,WA,47.05699,-122.39543
97123,Hillsboro,OR,45.44163,-122.98413
98118,Seattle,WA,47.54245,-122.2688
98133,Seattle,WA,47.73988,-122.34425
98042,Kent,WA,47.36623,-122.11717
98661,Vancouver,WA,45.63918,-122.62575
97504,Medford,OR,42.32693,-122.79868
98092,Auburn,WA,47.28763,-122.12871
98902,Yakima,WA,46.59668,-120.53375
97501,Medford,OR,42.28178,-122.90541
97401,Eugene,OR,44.06825,-123.08181
97405,Eugene,OR,43.93975,-123.19156
97080,Gresham,OR,45.47847,-122.38954
98837,Moses Lake,WA,47.14978,-119.30455
98223,Arlington,WA,48.21048,-121.95172
97305,Salem,OR,45.01433,-122.92872
98226,Bellingham,WA,48.80061,-122.42744
98058,Renton,WA,47.44181,-122.12439
99205,Spokane,WA,47.69665,-117.44622
98034,Kirkland,WA,47.71577,-122.2158
97202,Portland,OR,45.48292,-122.64407
98801,Wenatchee,WA,47.42334,-120.33781
98125,Seattle,WA,47.71641,-122.29812
97330,Corvallis,OR,44.63646,-123.27657
